timestamp,service,status, content_length
2026-03-04T03:52:22.575751+00:00,vaultwarden,200,29
2026-03-04T03:52:22.575751+00:00,traefik,401,17
2026-03-04T03:52:22.575751+00:00,Ubiquit Dream Machine SE,200,2149
2026-03-04T03:53:26.872597+00:00,vaultwarden,200,29
2026-03-04T03:53:26.872597+00:00,traefik,401,17
2026-03-04T03:53:26.872597+00:00,Ubiquit Dream Machine SE,200,2145
2026-03-04T03:54:42.106406+00:00,vaultwarden,200,29
2026-03-04T03:54:42.106406+00:00,traefik,401,17
2026-03-04T03:54:42.106406+00:00,Ubiquit Dream Machine SE,200,2138
2026-03-04T03:59:07.184529+00:00,vaultwarden,200,29
2026-03-04T03:59:07.184529+00:00,traefik,401,17
2026-03-04T03:59:07.184529+00:00,Ubiquit Dream Machine SE,200,2142
2026-03-04T04:00:18.452008+00:00,vaultwarden,200,29
2026-03-04T04:00:18.452008+00:00,traefik,401,17
2026-03-04T04:00:18.452008+00:00,Ubiquit Dream Machine SE,200,2144
2026-03-04T04:00:25.009400+00:00,vaultwarden,200,29
2026-03-04T04:00:25.009400+00:00,traefik,401,17
2026-03-04T04:00:25.009400+00:00,Ubiquit Dream Machine SE,200,2144
2026-03-04T04:00:29.855400+00:00,vaultwarden,200,29
2026-03-04T04:00:29.855400+00:00,traefik,401,17
2026-03-04T04:00:29.855400+00:00,Ubiquit Dream Machine SE,200,2146
2026-03-04T04:00:32.381719+00:00,vaultwarden,200,29
2026-03-04T04:00:32.381719+00:00,traefik,401,17
2026-03-04T04:00:32.381719+00:00,Ubiquit Dream Machine SE,200,2146
2026-03-04T04:00:37.421719+00:00,vaultwarden,200,29
2026-03-04T04:00:37.421719+00:00,traefik,401,17
2026-03-04T04:00:37.421719+00:00,Ubiquit Dream Machine SE,200,2146
2026-03-04T04:01:34.463683+00:00,vaultwarden,200,29
2026-03-04T04:01:34.463683+00:00,traefik,401,17
2026-03-04T04:01:34.463683+00:00,Ubiquit Dream Machine SE,200,2145
2026-03-04T04:01:36.476615+00:00,vaultwarden,200,29
2026-03-04T04:01:36.476615+00:00,traefik,401,17
2026-03-04T04:01:36.476615+00:00,Ubiquit Dream Machine SE,200,2145
2026-03-04T04:01:42.315332+00:00,vaultwarden,200,29
2026-03-04T04:01:42.315332+00:00,traefik,401,17
2026-03-04T04:01:42.315332+00:00,Ubiquit Dream Machine SE,200,2145
2026-03-04T04:01:52.365628+00:00,vaultwarden,200,29
2026-03-04T04:01:52.365628+00:00,traefik,401,17
2026-03-04T04:01:52.365628+00:00,Ubiquit Dream Machine SE,200,2145
2026-03-04T04:02:14.776314+00:00,vaultwarden,200,29
2026-03-04T04:02:14.776314+00:00,traefik,401,17
2026-03-04T04:02:14.776314+00:00,Ubiquit Dream Machine SE,200,2142
2026-03-04T04:02:55.083569+00:00,vaultwarden,200,29
2026-03-04T04:02:55.083569+00:00,traefik,401,17
2026-03-04T04:02:55.083569+00:00,Ubiquit Dream Machine SE,200,2141
2026-03-04T04:02:57.133135+00:00,vaultwarden,200,29
2026-03-04T04:02:57.133135+00:00,traefik,401,17
2026-03-04T04:02:57.133135+00:00,Ubiquit Dream Machine SE,200,2143
2026-03-04T04:03:00.559364+00:00,vaultwarden,200,29
2026-03-04T04:03:00.559364+00:00,traefik,401,17
2026-03-04T04:03:00.559364+00:00,Ubiquit Dream Machine SE,200,2143
2026-03-04T04:03:01.564441+00:00,vaultwarden,200,29
2026-03-04T04:03:01.564441+00:00,traefik,401,17
2026-03-04T04:03:01.564441+00:00,Ubiquit Dream Machine SE,200,2143
2026-03-04T04:03:18.732328+00:00,vaultwarden,200,29
2026-03-04T04:03:18.732328+00:00,traefik,401,17
2026-03-04T04:03:18.732328+00:00,Ubiquit Dream Machine SE,200,2143
2026-03-04T04:03:47.738636+00:00,vaultwarden,200,29
2026-03-04T04:03:47.738636+00:00,traefik,401,17
2026-03-04T04:03:47.738636+00:00,Ubiquit Dream Machine SE,200,2131
2026-03-04T04:04:51.684603+00:00,vaultwarden,200,29
2026-03-04T04:04:51.684603+00:00,traefik,401,17
2026-03-04T04:04:51.684603+00:00,Ubiquit Dream Machine SE,200,2143
2026-03-04T04:05:12.812159+00:00,vaultwarden,200,29
2026-03-04T04:05:12.812159+00:00,traefik,401,17
2026-03-04T04:05:12.812159+00:00,Ubiquit Dream Machine SE,200,2141
2026-03-04T04:05:41.092285+00:00,vaultwarden,200,29
2026-03-04T04:05:41.092285+00:00,traefik,401,17
2026-03-04T04:05:41.092285+00:00,Ubiquit Dream Machine SE,200,2146
2026-03-04T04:06:01.936009+00:00,vaultwarden,200,29
2026-03-04T04:06:01.936009+00:00,traefik,401,17
2026-03-04T04:06:01.936009+00:00,Ubiquit Dream Machine SE,200,2144
2026-03-04T04:06:32.625215+00:00,vaultwarden,200,29
2026-03-04T04:06:32.625215+00:00,traefik,401,17
2026-03-04T04:06:32.625215+00:00,Ubiquit Dream Machine SE,200,2146
2026-03-04T04:06:37.661888+00:00,vaultwarden,200,29
2026-03-04T04:06:37.661888+00:00,traefik,401,17
2026-03-04T04:06:37.661888+00:00,Ubiquit Dream Machine SE,200,2135
2026-03-04T04:06:47.168272+00:00,vaultwarden,200,29
2026-03-04T04:06:47.168272+00:00,traefik,401,17
2026-03-04T04:06:47.168272+00:00,Ubiquit Dream Machine SE,200,2135
2026-03-04T04:06:55.918070+00:00,vaultwarden,200,29
2026-03-04T04:06:55.918070+00:00,traefik,401,17
2026-03-04T04:06:55.918070+00:00,Ubiquit Dream Machine SE,200,2135
